,time,ctwl/nm,reflection/dBm,transmissionDepth/dB,reflection/%
0,2022/8/22 0:13:17,1539.6112,49.8989,0.4143328310450488,
1,2022/8/22 0:13:19,1539.6108,49.9048,0.34614980394337413,
2,2022/8/22 0:13:21,1539.6107,49.8985,0.4104205391308211,
3,2022/8/22 0:13:23,1539.6123,49.8901,0.3114230453487534,
4,2022/8/22 0:13:25,1539.6111,49.9111,0.40937429845875006,
5,2022/8/22 0:13:27,1539.6105,49.8874,0.4111542186396962,
6,2022/8/22 0:13:29,1539.6109,49.901,0.41427880001465983,
7,2022/8/22 0:13:31,1539.6106,49.8954,0.41208704478794933,
8,2022/8/22 0:13:33,1539.6093,49.8706,0.4005488774856687,
9,2022/8/22 0:13:35,1539.6129,49.8786,0.41589032939554377,
10,2022/8/22 0:13:37,1539.6156,49.8506,0.43937902333206147,
11,2022/8/22 0:13:39,1539.6187,49.8274,0.4373409862883094,
12,2022/8/22 0:13:41,1539.6144,49.8703,0.30162135981325905,
13,2022/8/22 0:13:43,1539.6180,49.8269,0.39630578962861424,
14,2022/8/22 0:13:45,1539.6125,49.8974,0.4023697613195432,
15,2022/8/22 0:13:47,1539.6187,49.8355,0.4188660038625118,
16,2022/8/22 0:13:49,1539.6193,49.8381,0.4181647202954,
17,2022/8/22 0:13:51,1539.6163,49.8566,0.41933165744608514,
18,2022/8/22 0:13:53,1539.6115,49.9225,0.4056072765684228,
19,2022/8/22 0:13:55,1539.6183,49.8445,0.4429753080167348,
20,2022/8/22 0:13:57,1539.6168,49.8571,0.425464729193573,
21,2022/8/22 0:13:59,1539.6110,49.9329,0.4143180375240565,
22,2022/8/22 0:14:01,1539.6106,49.9345,0.4093843082403963,
23,2022/8/22 0:14:03,1539.6117,49.9537,0.395992719247916,
24,2022/8/22 0:14:05,1539.6101,49.9234,0.4037388658581337,
25,2022/8/22 0:14:07,1539.6135,49.9291,0.41187809419583465,
26,2022/8/22 0:14:09,1539.6125,49.9422,0.4103772762681843,
27,2022/8/22 0:14:11,1539.6140,49.9196,0.4079836165328304,
28,2022/8/22 0:14:13,1539.6189,49.8785,0.42958662238816236,
29,2022/8/22 0:14:15,1539.6160,49.8898,0.4175711069570089,
30,2022/8/22 0:14:17,1539.6124,49.9361,0.406075647589987,
31,2022/8/22 0:14:19,1539.6131,49.9289,0.3924523806203527,
32,2022/8/22 0:14:21,1539.6171,49.8844,0.41999617209429435,
33,2022/8/22 0:14:23,1539.6193,49.8658,0.4222532757571456,
34,2022/8/22 0:14:25,1539.6135,49.9233,0.41508408313851025,
35,2022/8/22 0:14:27,1539.6160,49.893,0.3058998518005448,
36,2022/8/22 0:14:29,1539.6170,49.8894,0.31243992612812355,
37,2022/8/22 0:14:31,1539.6170,49.8845,0.4288474058771567,
38,2022/8/22 0:14:33,1539.6104,49.9437,0.34883758118927355,
39,2022/8/22 0:14:35,1539.6109,49.9484,0.406008626467895,
40,2022/8/22 0:14:37,1539.6108,49.9484,0.4146502438756289,
41,2022/8/22 0:14:39,1539.6115,49.9575,0.4041837046069565,
42,2022/8/22 0:14:41,1539.6156,49.8925,0.4190704899003507,
43,2022/8/22 0:14:43,1539.6162,49.8869,0.40788928696073623,
