,time,ctwl/nm,thresh/dBm,notch/dB,reflection/%
0,2022/8/30 0:15:02,1536.6498,-40.74560000000000314912540488876402378082275390625,48.61440000000000418367562815,99.99862418512700502578639805
1,2022/8/30 0:15:32,1536.6830,-40.74380000000000023874235921539366245269775390625,48.58889999999999133706296561,99.99861608314091939124360672
2,2022/8/30 0:16:02,1536.8062,-40.732799999999997453414835035800933837890625,48.58660000000000724185156286,99.99861535003195544496441610
3,2022/8/30 0:16:32,1536.9318,-40.71820000000000305817593471147119998931884765625,48.98540000000000605950845056,99.99873683524332409514691128
4,2022/8/30 0:17:02,1537.0403,-40.704599999999999226929503493010997772216796875,48.55420000000000180762071977,99.99860498139410283254116052
5,2022/8/30 0:17:32,1537.1543,-40.69590000000000173940861714072525501251220703125,48.28260000000000206910044654,99.99851495367972764266806468
6,2022/8/30 0:18:02,1537.2574,-40.6820000000000021600499167107045650482177734375,48.64389999999999935198502499,99.99863349885477011955050956
7,2022/8/30 0:18:32,1537.3765,-40.66499999999999914734871708787977695465087890625,48.36059999999999479314283235,99.99854138726844136930341613
8,2022/8/30 0:19:02,1537.4894,-40.649799999999999045030563138425350189208984375,48.96800000000000250111042987,99.99873176422444441074449629
9,2022/8/30 0:19:32,1537.6327,-40.6218999999999965666575008071959018707275390625,48.63800000000000119371179608,99.99863164116694969382721043
10,2022/8/30 0:20:02,1537.7752,-40.59960000000000235331754083745181560516357421875,48.99770000000000186446413864,99.99874040769156513067556511
11,2022/8/30 0:20:32,1537.9177,-40.57209999999999894271240918897092342376708984375,48.79770000000000300133251585,99.99868104493493251584522322
12,2022/8/30 0:21:02,1538.0702,-40.54379999999999739657141617499291896820068359375,48.83339999999999758983904030,99.99869184260685201738133804
13,2022/8/30 0:21:32,1538.2180,-40.51180000000000092086338554508984088897705078125,48.40059999999999951114659780,99.99855475991034441103053098
14,2022/8/30 0:22:02,1538.3492,-40.48729999999999762394509161822497844696044921875,48.32910000000000036379788071,99.99853076928131469485182574
15,2022/8/30 0:22:32,1538.4847,-40.4532999999999987039700499735772609710693359375,47.86399999999999806732375874,99.99836469034825541454271879
16,2022/8/30 0:23:02,1538.6230,-40.4294000000000011141310096718370914459228515625,47.33960000000000894715412869,99.99815481464079459994270197
17,2022/8/30 0:23:32,1538.7599,-40.40220000000000055706550483591854572296142578125,46.58149999999999482724888366,99.99780289911004286936512236
18,2022/8/30 0:24:02,1538.8945,-40.37469999999999714646037318743765354156494140625,45.55040000000000088675733423,99.99721413543079601423204696
19,2022/8/30 0:24:32,1539.0557,-40.340000000000003410605131648480892181396484375,44.80430000000000364934749086,99.99669196573024759126888800
20,2022/8/30 0:25:02,1539.1817,-40.31400000000000005684341886080801486968994140625,43.70319999999999544115780737,99.99573734680833878219656866
21,2022/8/30 0:25:32,1539.3499,-40.28419999999999845385900698602199554443359375,42.71140000000000350155460182,99.99464376035085909797338853
22,2022/8/30 0:26:02,1539.4935,-40.25339999999999918145476840436458587646484375,41.59679999999999722604115959,99.99307659081334678964495324
23,2022/8/30 0:26:32,1539.6932,-40.21350000000000335376171278767287731170654296875,40.62910000000000462705429527,99.99134852813048626697049054
24,2022/8/30 0:27:02,1539.8382,-40.19409999999999882902557146735489368438720703125,39.58629999999999722604115959,99.98900057456457259025652332
25,2022/8/30 0:27:32,1540.0212,-40.163600000000002410160959698259830474853515625,38.57769999999999691908669775,99.98612509558262974936494044
26,2022/8/30 0:28:02,1540.1998,-40.13969999999999771489456179551780223846435546875,37.58449999999999181454768405,99.98255985867044721808472030
27,2022/8/30 0:28:32,1540.3827,-40.11880000000000023874235921539366245269775390625,36.64939999999999895408109296,99.97836982665026321333377052
28,2022/8/30 0:29:02,1540.5729,-40.097499999999996589394868351519107818603515625,35.80899999999999556621332886,99.97375177138393644764649548
29,2022/8/30 0:29:32,1540.7546,-40.07079999999999841975295566953718662261962890625,34.99989999999999815827322891,99.96837649524859307722558788
30,2022/8/30 0:30:02,1540.9320,-40.05680000000000262616595136933028697967529296875,34.18219999999999748752088635,99.96182491611830765992213754
31,2022/8/30 0:30:32,1541.1336,-40.048900000000003274180926382541656494140625,33.40120000000000010231815395,99.95430380910721909737924606
32,2022/8/30 0:31:02,1541.3289,-40.04169999999999873807610129006206989288330078125,32.68560000000000661657395540,99.94611845998675839783734198
33,2022/8/30 0:31:32,1541.5196,-40.04339999999999832880348549224436283111572265625,31.90249999999999414512785733,99.93547173324618387987502977
34,2022/8/30 0:32:02,1541.7208,-40.04740000000000321733750752173364162445068359375,31.15139999999999258761818055,99.92328858388891219422661694
