,time,temperature,ctwl
0,2022/8/31 21:46,25.88,1538.6273
1,2022/8/31 21:46,26.16,1538.6281
2,2022/8/31 21:46,26.63,1538.6265
3,2022/8/31 21:46,27.32,1538.6265
4,2022/8/31 21:47,28.31,1538.6273
5,2022/8/31 21:47,29.57,1538.6273
6,2022/8/31 21:47,31.03,1538.6265
7,2022/8/31 21:47,32.65,1538.6273
8,2022/8/31 21:47,34.35,1538.6305
9,2022/8/31 21:47,36.05,1538.6297
10,2022/8/31 21:47,37.88,1538.6297
11,2022/8/31 21:47,39.63,1538.6313
12,2022/8/31 21:47,41.37,1538.6313
13,2022/8/31 21:47,43.05,1538.6337
14,2022/8/31 21:48,44.71,1538.6376
15,2022/8/31 21:48,46.36,1538.6415
16,2022/8/31 21:48,47.95,1538.6471
17,2022/8/31 21:48,49.52,1538.6566
18,2022/8/31 21:48,51.05,1538.6684
19,2022/8/31 21:48,52.54,1538.6818
20,2022/8/31 21:48,53.98,1538.696
21,2022/8/31 21:48,55.39,1538.7095
22,2022/8/31 21:48,56.75,1538.726
23,2022/8/31 21:48,58.05,1538.7426
24,2022/8/31 21:49,59.3,1538.7576
25,2022/8/31 21:49,60.53,1538.775
26,2022/8/31 21:49,61.73,1538.7908
27,2022/8/31 21:49,62.89,1538.8066
28,2022/8/31 21:49,63.99,1538.8208
29,2022/8/31 21:49,65.06,1538.8311
30,2022/8/31 21:49,66.1,1538.8493
31,2022/8/31 21:49,67.11,1538.8619
32,2022/8/31 21:49,68.09,1538.8753
33,2022/8/31 21:49,69.06,1538.8911
34,2022/8/31 21:50,70.01,1538.8998
35,2022/8/31 21:50,70.94,1538.9101
36,2022/8/31 21:50,71.87,1538.9204
37,2022/8/31 21:50,72.8,1538.9283
38,2022/8/31 21:50,73.7,1538.9425
39,2022/8/31 21:50,74.58,1538.9496
40,2022/8/31 21:50,75.5,1538.9599
41,2022/8/31 21:50,76.41,1538.9725
42,2022/8/31 21:50,77.33,1538.9749
43,2022/8/31 21:50,78.28,1538.9772
44,2022/8/31 21:51,79.26,1538.997
